Panel,contrast_id,ratio,p_published,published_call,p,p_holm,revised_call,changed
Figure 2b-d,LEV:P-vs-PA,0.7817249730399588,0.01228,True,0.005248024438671064,0.010496048877342129,True,False
Figure 2b-d,LEV:P-vs-PC,1.133170100829309,0.323835,False,0.37499844064422516,0.37499844064422516,False,False
Figure 2b-d,LEV:P-vs-PL,36.11536321489162,2.4e-05,True,1.3343246319576062e-09,4.002973895872818e-09,True,False
Figure 2b-d,AMI:P-vs-PA,12.18254855038082,7.8e-05,True,2.664806180982352e-07,7.994418542947055e-07,True,False
Figure 2b-d,AMI:P-vs-PC,1.1021217002180848,0.287684,False,0.27709330147856337,0.5541866029571267,False,False
Figure 2b-d,AMI:P-vs-PL,1.0001328893086805,0.82996,False,0.9992122642211936,0.9992122642211936,False,False
Figure 2b-d,CEF:P-vs-PA,0.7900077569315828,0.037107,True,0.032061092126329294,0.032061092126329294,True,False
Figure 2b-d,CEF:P-vs-PC,1.6064172370632503,0.014467,True,0.013228012324359141,0.026456024648718282,True,False
Figure 2b-d,CEF:P-vs-PL,2.0795387054269323,0.000701,True,0.00017006461770322225,0.0005101938531096667,True,False
Figure 3b-d,LEV:P-vs-PL,36.11536321489162,2.4e-05,True,1.3343246319576062e-09,8.005947791745636e-09,True,False
Figure 3b-d,LEV:P-vs-PLA,15.238986720492244,0.002024,True,3.784115636445701e-08,1.8920578182228506e-07,True,False
Figure 3b-d,LEV:P-vs-PLAC,17.336638958654753,0.002892,True,3.2523329577052284e-07,1.3009331830820914e-06,True,False
Figure 3b-d,LEV:PL-vs-PLA,0.42195302397536677,0.005097,True,0.0004188150462841625,0.0012564451388524874,True,False
Figure 3b-d,LEV:PL-vs-PLAC,0.4800350159985722,0.031471,True,0.007241255459417303,0.014482510918834606,True,False
Figure 3b-d,LEV:PLA-vs-PLAC,1.1376503750962481,0.299695,False,0.38896643591759306,0.38896643591759306,False,False
Figure 3b-d,AMI:P-vs-PL,1.0001328893086805,0.82996,False,0.9992122642211936,0.9992122642211936,False,False
Figure 3b-d,AMI:P-vs-PLA,8.427167493947147,5e-06,True,8.915664414779588e-09,5.3493986488677525e-08,True,False
Figure 3b-d,AMI:P-vs-PLAC,2.6101208768013477,0.011236,True,0.0019367025756196368,0.00581010772685891,True,False
Figure 3b-d,AMI:PL-vs-PLA,8.42604776228511,4e-06,True,2.020589248619626e-08,1.010294624309813e-07,True,False
Figure 3b-d,AMI:PL-vs-PLAC,2.6097740657299404,0.007168,True,0.003881827128899778,0.007763654257799556,True,False
Figure 3b-d,AMI:PLA-vs-PLAC,0.309726949022442,0.000104,True,0.00029758168178066783,0.0011903267271226713,True,False
Figure 3b-d,CEF:P-vs-PL,2.0795387054269323,0.000701,True,0.00017006461770322225,0.0010203877062193334,True,False
Figure 3b-d,CEF:P-vs-PLA,1.2433626764576453,0.158229,False,0.1594108210437383,0.3188216420874766,False,False
Figure 3b-d,CEF:P-vs-PLAC,1.386490401758275,0.056252,False,0.04822558520021172,0.14467675560063514,False,False
Figure 3b-d,CEF:PL-vs-PLA,0.597903118231397,0.008042,True,0.00626483691440522,0.02505934765762088,True,False
Figure 3b-d,CEF:PL-vs-PLAC,0.666729788745926,0.009617,True,0.0021419122014998634,0.010709561007499317,True,False
Figure 3b-d,CEF:PLA-vs-PLAC,1.1151134162305743,0.394618,False,0.5269413837589554,0.5269413837589554,False,False
Supplementary Figure 3b-d,LEV:P-vs-PCr,3.600072125816605,0.005989,True,0.003401827611030918,0.003401827611030918,True,False
Supplementary Figure 3b-d,AMI:P-vs-PCr,1.6684760065690305,0.061263,False,0.12925367132755952,0.12925367132755952,False,False
Supplementary Figure 3b-d,CEF:P-vs-PCr,102.41660944114,0.049422,True,0.002237871996334808,0.002237871996334808,True,False
Supplementary Figure 4b-d,LEV:ATEC-vs-ATEC-C,1.0899873218339715,0.120143,False,0.07591993362298537,0.07591993362298537,False,False
Supplementary Figure 4b-d,AMI:ATEC-vs-ATEC-C,0.7668982608832314,0.344109,False,0.19196860087017606,0.19196860087017606,False,False
Supplementary Figure 4b-d,CEF:ATEC-vs-ATEC-C,0.8112726801330843,0.04306,True,0.15875932682283342,0.15875932682283342,False,True
Supplementary Figure 6a-c,LEV:P-vs-P-unt,1.223656380248257,0.003274,True,0.011601896931030756,0.011601896931030756,True,False
Supplementary Figure 6a-c,AMI:P-vs-P-unt,0.7105272316294521,0.014912,True,0.03317190224895669,0.03317190224895669,True,False
Supplementary Figure 6a-c,CEF:P-vs-P-unt,0.6766848331009832,0.013933,True,0.014681566876603566,0.014681566876603566,True,False
