Panel,contrast_id,disposition,test_17aug,q_bh_17aug,call_17aug,test_now,p_holm_now,call_now,changed
Figure 5b-d,AMI:MG-vs-fime,"retired: biological n=1, descriptive reporting","Dunnett (log10, pooled SD)",0.9277050876253188,False,descriptive,,,False
Figure 5b-d,CEF:MG-vs-gata,"retired: biological n=1, descriptive reporting","Dunnett (log10, pooled SD)",0.9998652135566573,False,descriptive,,,False
Figure 5b-d,CEF:MG-vs-glvc,"retired: biological n=1, descriptive reporting","Dunnett (log10, pooled SD)",0.969625261658957,False,descriptive,,,False
Figure 5b-d,CEF:MG-vs-hipa,"retired: biological n=1, descriptive reporting","Dunnett (log10, pooled SD)",0.562398913226801,False,descriptive,,,False
Figure 5b-d,CEF:MG-vs-selb,"retired: biological n=1, descriptive reporting","Dunnett (log10, pooled SD)",0.934866576218652,False,descriptive,,,False
Figure 5b-d,CEF:MG-vs-rpoz,"retired: biological n=1, descriptive reporting","Dunnett (log10, pooled SD)",0.4402214915810455,False,descriptive,,,False
Figure 5b-d,CEF:MG-vs-ftsh,"retired: biological n=1, descriptive reporting","Dunnett (log10, pooled SD)",0.3089110322554393,False,descriptive,,,False
Figure 5b-d,CEF:MG-vs-fime,"retired: biological n=1, descriptive reporting","Dunnett (log10, pooled SD)",0.6022005843925726,False,descriptive,,,False
Figure 5b-d,LEV:MG-vs-gata,"retired: biological n=1, descriptive reporting","Dunnett (log10, pooled SD)",0.9999999997513648,False,descriptive,,,False
Figure 5b-d,LEV:MG-vs-glvc,"retired: biological n=1, descriptive reporting","Dunnett (log10, pooled SD)",0.160933121407102,False,descriptive,,,False
Figure 5b-d,LEV:MG-vs-hipa,"retired: biological n=1, descriptive reporting","Dunnett (log10, pooled SD)",0.0876689757509657,False,descriptive,,,False
Figure 5b-d,LEV:MG-vs-selb,"retired: biological n=1, descriptive reporting","Dunnett (log10, pooled SD)",0.0002758299346152,True,descriptive,,,False
Figure 5b-d,LEV:MG-vs-rpoz,"retired: biological n=1, descriptive reporting","Dunnett (log10, pooled SD)",0.999622228122971,False,descriptive,,,False
Figure 5b-d,LEV:MG-vs-ftsh,"retired: biological n=1, descriptive reporting","Dunnett (log10, pooled SD)",0.8288171998174085,False,descriptive,,,False
Figure 5b-d,LEV:MG-vs-fime,"retired: biological n=1, descriptive reporting","Dunnett (log10, pooled SD)",0.0656148820494111,False,descriptive,,,False
