Panel,also_shown_in,value,Antibiotic,contrast_id,Group1,Group2,n1,n2,n_pairs,geomean1,geomean2,ratio,ratio_lo,ratio_hi,test,interval_method,t,df,r_pairs,p,p_other_test,other_test,other_test_ids,p_raw_scale,p_exact,exact_test,fit_range_lo,fit_range_hi,fit_range_method,fit_resamples,fit_seed,p_excl_lineages_238,ratio_excl_lineages_238,p_holm,p_bh,p_bonferroni,p_holm_figure,p_holm_excl_238,k,p_other_test_holm,p_raw_scale_holm,p_exact_holm,sensitivity_family,significant
Figure 2b-d,Supplementary Figure 2,IC50,Cefepime,CEF:P-vs-PA,P,PA,10,10,10.0,0.03818599205397341,0.030167229928766772,0.7900077569315828,0.6400582843126602,0.9750865996247304,"paired t on log10, aligned on culture",paired log-ratio t interval,-2.533304014330983,9.0,-0.07596321727370649,0.032061092126329294,0.01817259175508207,Welch,,0.037107073831911676,0.041015625,sign-flip,0.6705454573480653,1.0023545629373118,culture resampling and fit perturbation; empirical 2.5-97.5 percentiles,4000.0,20260915.0,,,0.032061092126329294,0.032061092126329294,0.09618327637898788,0.12824436850531717,,3.0,0.018701099145851097,0.037107073831911676,0.041015625,same panel and antibiotic as primary,True
Figure 2b-d,Supplementary Figure 2,MIC,Cefepime,CEF:P-vs-PA,P,PA,10,10,10.0,0.1522032837085734,0.07281814767311481,0.4784269162848098,0.30073775541305503,0.7611026886578145,descriptive,paired log-ratio t interval,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 2b-d,Supplementary Figure 2,IC50,Cefepime,CEF:P-vs-PC,P,PC,10,10,10.0,0.03818599205397341,0.061342635849863186,1.6064172370632503,1.1335979705229573,2.276447564865913,"paired t on log10, aligned on culture",paired log-ratio t interval,3.075866046932754,9.0,-0.04426475790078895,0.013228012324359141,0.009350549572925549,Welch,,0.01446653680334499,0.01953125,sign-flip,1.1984059301846928,2.168459380522606,culture resampling and fit perturbation; empirical 2.5-97.5 percentiles,4000.0,20260915.0,,,0.026456024648718282,0.01984201848653871,0.03968403697307742,0.0661400616217957,,3.0,0.018701099145851097,0.02893307360668998,0.0390625,same panel and antibiotic as primary,True
Figure 2b-d,Supplementary Figure 2,MIC,Cefepime,CEF:P-vs-PC,P,PC,10,10,10.0,0.1522032837085734,0.19997866443826315,1.3138919185289468,0.5576272903650288,3.0958168715982572,descriptive,paired log-ratio t interval,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 2b-d,Supplementary Figure 2,IC50,Cefepime,CEF:P-vs-PL,P,PL,10,10,10.0,0.03818599205397341,0.07940924848136299,2.0795387054269323,1.5881223620519105,2.7230151345399727,"paired t on log10, aligned on culture",paired log-ratio t interval,6.143428642029867,9.0,-0.38543204287365035,0.00017006461770322225,4.026405702776753e-06,Welch,,0.0007005646910829917,0.001953125,sign-flip,1.6782572308025225,2.72309197963208,culture resampling and fit perturbation; empirical 2.5-97.5 percentiles,4000.0,20260915.0,,,0.0005101938531096667,0.0005101938531096668,0.0005101938531096667,0.0011904523239225557,,3.0,1.2079217108330258e-05,0.002101694073248975,0.005859375,same panel and antibiotic as primary,True
Figure 2b-d,Supplementary Figure 2,MIC,Cefepime,CEF:P-vs-PL,P,PL,10,10,10.0,0.1522032837085734,0.5541861505315706,3.6410919464305485,2.4782746970816247,5.349508098506299,descriptive,paired log-ratio t interval,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 3b-d,Supplementary Figure 7,IC50,Levofloxacin,LEV:P-vs-PL,P,PL,10,10,10.0,0.03575255946166259,1.2912166708199548,36.11536321489162,26.0505261501357,50.068833643759355,"paired t on log10, aligned on culture",paired log-ratio t interval,24.836877349989017,9.0,-0.12207688254518315,1.3343246319576062e-09,7.222852832390853e-14,Welch,,2.3572188039516992e-05,0.001953125,sign-flip,27.57852980218559,48.97651720471461,culture resampling and fit perturbation; empirical 2.5-97.5 percentiles,4000.0,20260915.0,9.595860419936247e-07,37.795942978697745,8.005947791745636e-09,8.005947791745638e-09,8.005947791745636e-09,2.4017843375236912e-08,4.797930209968123e-06,6.0,4.333711699434512e-13,0.00014143312823710195,0.01171875,same panel and antibiotic as primary,True
Figure 3b-d,Supplementary Figure 7,MIC,Levofloxacin,LEV:P-vs-PL,P,PL,10,10,10.0,0.1038117356856237,9.08071560918727,87.47291960021438,46.15258257503926,165.7872915550286,descriptive,paired log-ratio t interval,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 3b-d,Supplementary Figure 7,IC50,Levofloxacin,LEV:P-vs-PLA,P,PLA,10,10,10.0,0.03575255946166259,0.5448327788598856,15.238986720492244,10.606149099288753,21.895479131338256,"paired t on log10, aligned on culture",paired log-ratio t interval,17.001654594124,9.0,-0.02750765867962252,3.784115636445701e-08,1.7583192120229552e-10,Welch,,0.0020238126271895592,0.001953125,sign-flip,11.681352329798774,21.971246001039294,culture resampling and fit perturbation; empirical 2.5-97.5 percentiles,4000.0,20260915.0,5.65757286236705e-08,13.817327527833307,1.8920578182228506e-07,1.1352346909337105e-07,2.270469381867421e-07,5.676173454668552e-07,3.39454371742023e-07,6.0,8.791596060114776e-10,0.010119063135947796,0.01171875,same panel and antibiotic as primary,True
Figure 3b-d,Supplementary Figure 7,MIC,Levofloxacin,LEV:P-vs-PLA,P,PLA,10,10,10.0,0.1038117356856237,0.9313668061039089,8.971690916761052,5.390467827503304,14.932143272465051,descriptive,paired log-ratio t interval,,,,,,,,,,,,,,,,,,,,,,,,,,,,
