"Feature","Gene","Probe","Summed_Counts"
"ccmD-1","ccmD","1",0
"ccmE-3","ccmE","3",129
"ccmF-1","ccmF","1",0
"ccmG-2","ccmG","2",50
"ccmH-2","ccmH","2",14
"cdaR-5","cdaR","5",10
"cdd-4","cdd","4",516
"cdh-1","cdh","1",175
"cdsA-1","cdsA","1",1969
"cedA-1","cedA","1",192
"cfa-5","cfa","5",2983
"chaA-4","chaA","4",301
"chaB-2","chaB","2",5
"chaC-1","chaC","1",709
"chbA-5","chbA","5",62
"chbB-1","chbB","1",42
"chbC-1","chbC","1",178
"chbF-1","chbF","1",49
"chbG-2","chbG","2",209
"chbR-1","chbR","1",81
"cheA-3","cheA","3",99
"cheB-3","cheB","3",61
"cheR-1","cheR","1",0
"cheW-2","cheW","2",4
"cheY-1","cheY","1",0
"cheZ-3","cheZ","3",63
"chiA-5","chiA","5",127
"cho-3","cho","3",644
"chpA-3","chpA","3",64
"chpB-4","chpB","4",1
"chpR-5","chpR","5",811
"chpS-1","chpS","1",0
"cirA-1","cirA","1",567
"citA-2","citA","2",312
"citB-4","citB","4",249
"citC-2","citC","2",14
"citD-1","citD","1",0
"citE-1","citE","1",0
"citF-1","citF","1",0
"citG-1","citG","1",0
"citT-3","citT","3",35
"citX-4","citX","4",2
"clcA-5","clcA","5",425
"clcB-5","clcB","5",254
"cld-5","cld","5",2136
"clpA-3","clpA","3",3789
"clpB-5","clpB","5",4964
"clpP-3","clpP","3",3720
"clpS-3","clpS","3",12
"clpX-4","clpX","4",6543
"cls-4","cls","4",390
"cmk-1","cmk","1",932
"cmr-1","cmr","1",155
"cmtA-3","cmtA","3",43
"cmtB-5","cmtB","5",15
"coaA-1","coaA","1",286
"coaD-2","coaD","2",13
"coaE-1","coaE","1",341
"cobB-1","cobB","1",496
"cobC-1","cobC","1",94
"cobS-1","cobS","1",80
"cobT-3","cobT","3",176
"cobU-5","cobU","5",287
"codA-1","codA","1",0
"codB-2","codB","2",32
"cof-5","cof","5",191
"copA-2","copA","2",2491
"corA-4","corA","4",338
"cpdA-1","cpdA","1",0
"cpdB-4","cpdB","4",39
"cpsB-4","cpsB","4",80
"cpsG-3","cpsG","3",51
"cpxA-5","cpxA","5",957
"cpxP-2","cpxP","2",81
"cpxR-4","cpxR","4",877
"crcA-1","crcA","1",28
"crcB-3","crcB","3",402
"creA-5","creA","5",11
"creB-3","creB","3",14
"creC-2","creC","2",295
"creD-4","creD","4",73
"crl-3","crl","3",1418
"crp-1","crp","1",0
"crr-1","crr","1",4356
"csdA-3","csdA","3",56
"csgA-2","csgA","2",2
"csgB-3","csgB","3",23
"csgC-1","csgC","1",24
"csgD-3","csgD","3",108
"csgE-5","csgE","5",28
"csgF-3","csgF","3",30
"csgG-4","csgG","4",62
"csiE-3","csiE","3",472
"csiR-3","csiR","3",20
"cspA-3","cspA","3",5256
"cspB-3","cspB","3",929
"cspC-1","cspC","1",0
"cspD-5","cspD","5",11
"cspE-1","cspE","1",0
"cspF-4","cspF","4",24
"cspG-3","cspG","3",12341
"cspH-1","cspH","1",0
"cspI-3","cspI","3",61
"csrA-1","csrA","1",335
"csrb-1","csrb","1",1
"cstA-5","cstA","5",250
"cueO-5","cueO","5",904
"cueR-1","cueR","1",0
"cusA-4","cusA","4",98
"cusB-1","cusB","1",46
"cusC-3","cusC","3",26
"cusF-1","cusF","1",45
"cusR-5","cusR","5",318
"cusS-3","cusS","3",162
"cutA-1","cutA","1",203
"cutC-1","cutC","1",297
"cvpA-1","cvpA","1",92
"cvrA-4","cvrA","4",476
"cyaA-4","cyaA","4",1776
"cyaY-1","cyaY","1",0
"cybB-4","cybB","4",157
"cybC-4","cybC","4",127
