Panel,value,Antibiotic,Group1,Group2,geomean1,geomean2,ratio,lo,hi,p,n1,n2,test,q_bh,p_holm_figure,k_bh,pooled_sd_log10,df_pooled,sig_bh,sig_holm
Figure 2b-d,IC50,Amikacin,P,PA,2.988148518197365,36.403264398687924,12.182548550380826,9.050184124005233,16.39905742787296,6.638327917887869e-12,10,10,unpaired Welch,1.9914983753663607e-11,5.310662334310295e-11,3.0,,,True,True
Figure 2b-d,IC50,Amikacin,P,PC,2.988148518197365,3.2933033253798296,1.1021217002180845,0.8713291039090033,1.3940453000390707,0.3960646891073232,10,10,unpaired Welch,0.5940970336609848,1.0,3.0,,,False,False
Figure 2b-d,IC50,Amikacin,P,PL,2.988148518197365,2.988545611188182,1.0001328893086803,0.7491577693385637,1.335187109065251,0.9992346978672255,10,10,unpaired Welch,0.9992346978672255,1.0,3.0,,,False,False
Figure 2b-d,IC50,Cefepime,P,PA,0.03818599205397341,0.030167229928766772,0.7900077569315825,0.6532387395852551,0.955412191886113,0.01817259175508207,10,10,unpaired Welch,0.01817259175508207,0.07269036702032829,3.0,,,True,False
Figure 2b-d,IC50,Cefepime,P,PC,0.03818599205397341,0.061342635849863186,1.60641723706325,1.1515505956712988,2.2409578434802278,0.009350549572925549,10,10,unpaired Welch,0.014025824359388324,0.056103297437553296,3.0,,,True,False
Figure 2b-d,IC50,Cefepime,P,PL,0.03818599205397341,0.07940924848136299,2.079538705426932,1.6689983627742637,2.5910637924056594,4.026405702776753e-06,10,10,unpaired Welch,1.2079217108330258e-05,2.818483991943727e-05,3.0,,,True,True
Figure 2b-d,IC50,Levofloxacin,P,PA,0.03575255946166259,0.02794866858127771,0.7817249730399586,0.6498392919443944,0.9403770148244811,0.012177452766033492,10,10,unpaired Welch,0.018266179149050238,0.06088726383016746,3.0,,,True,False
Figure 2b-d,IC50,Levofloxacin,P,PC,0.03575255946166259,0.040513731410078045,1.1331701008293082,0.8611444680916682,1.491125502157689,0.3481541915323121,10,10,unpaired Welch,0.3481541915323121,1.0,3.0,,,False,False
Figure 2b-d,IC50,Levofloxacin,P,PL,0.03575255946166259,1.2912166708199548,36.11536321489162,26.956520210592416,48.38604723287029,7.222852832390853e-14,10,10,unpaired Welch,2.166855849717256e-13,6.500567549151768e-13,3.0,,,True,True
Figure 2b-d,MIC,Amikacin,P,PA,42.39528381723561,246.88649187118318,5.823442365323017,3.1775164050002935,10.672637575961096,1.794994998929653e-05,10,10,unpaired Welch,5.3849849967889595e-05,0.00014359959991437225,3.0,,,True,True
Figure 2b-d,MIC,Amikacin,P,PC,42.39528381723561,29.604965119153363,0.6983079827175871,0.4597011158429741,1.060763226195155,0.0878821202621979,10,10,unpaired Welch,0.0878821202621979,0.2636463607865937,3.0,,,False,False
Figure 2b-d,MIC,Amikacin,P,PL,42.39528381723561,18.464675468349583,0.43553607396403027,0.24354920599527224,0.7788638478570263,0.008086209545856418,10,10,unpaired Welch,0.012129314318784628,0.04043104772928209,3.0,,,True,True
Figure 2b-d,MIC,Cefepime,P,PA,0.1522032837085734,0.07281814767311481,0.47842691628480993,0.29500679708190974,0.7758882727106783,0.005565204936796961,10,10,unpaired Welch,0.008347807405195442,0.03339122962078177,3.0,,,True,True
Figure 2b-d,MIC,Cefepime,P,PC,0.1522032837085734,0.19997866443826315,1.3138919185289473,0.6674954614885065,2.5862527510314806,0.406840783916403,10,10,unpaired Welch,0.406840783916403,0.813681567832806,3.0,,,False,False
