(Gene-Ontology-Terms Pathways All-Genes)	p-values	Matches
adenyl nucleotide binding	1.0200147e-9	sbcC // hfq // ribF // hrpA // ybeZ // cydD // hslV // purL // cmk // hdhA // recQ // hflX // gor // srkA // dnaC // ubiB // rfbB // uvrA // udp // creC // gltA // macB // aroE // leuS // folC // ycbZ // aceK // gltX // gnd // yeeZ // waaP // ybhF // maeA // gyrB // ileS // ackA // alaS // ldhA // barA // anmK // folK // fhlA // ghrB // lon // guaB // uvrD // miaA // hldE // gpmA // htpG // rapA // gpsA // yajQ // guaA // metK // dpiB // groS // accA // panE // clpX // nuoC // pykF // mfd // nadR // recA // nagK // dhaR // hsdR // panC // icd // aroB // arcB // rhlB // gyrA // yheS // clpB // metG // accC // clpA // pykA // hscA // narX // sapD // proA // hda // pck // carB // rcsD // glyS // valS // yniA // pdxA // potG // ygiC // ddlA // nadK // lysS // prkB // groL // tyrS // gshB // dnaK // mrp // gshA // yfdG // asd // recC // nadE // pgk // bdcA // ghrA // pcnB // pheT // serA // ychF // nuoF // glnS // pntB // ybdK // radD // ftsK // recN // sbmA // pdxB // gapA // tcyN // arnA // relA // hslU // trpS // evgS // lolD // glpK // mazG // accD // thrA // mnmA // znuC // cyaA // dnaJ // pfkB // cysS // phoQ // mutS // zapE // malT // selO // dbpA // epmA // proS
carbohydrate derivative binding	3.8616244e-9	sbcC // hfq // ribF // hrpA // ybeZ // cydD // dgcE // hslV // purL // cmk // actS // recQ // mnmE // hflX // srkA // dnaC // ubiB // moaA // uvrA // udp // nfsB // creC // folE // dgcN // macB // pdxH // leuS // folC // yihA // ycbZ // aceK // gltX // gnd // yeeZ // waaP // ybhF // diaA // gyrB // ileS // ackA // alaS // barA // anmK // bipA // dgcJ // folK // fhlA // lon // guaB // uvrD // miaA // kefG // hldE // gpmA // htpG // rapA // yajQ // guaA // hemG // metK // dpiB // groS // accA // clpX // pykF // mfd // nadR // yjiA // recA // nagK // dhaR // ycjX // yebK // pyrD // hsdR // panC // icd // arcB // rhlB // pgi // gyrA // yheS // clpB // metG // accC // clpA // pykA // hscA // gmhA // narX // sapD // hda // pck // carB // rcsD // glyS // valS // yniA // potG // ygiC // kdsD // ddlA // nadK // lysS // prkB // ompF // groL // tyrS // ydjA // gshB // dnaK // mrp // gshA // dgcP // upp // recC // bcsE // nadE // pgk // ppnN // bdcA // pcnB // pheT // damX // ychF // gdhA // lptA // nuoF // ubiD // glnS // ybdK // radD // ftsK // recN // sbmA // tcyN // relA // hslU // trpS // evgS // feoB // lolD // glpK // mazG // accD // thrA // mnmA // znuC // cyaA // ppx // hpt // dnaJ // pfkB // cysS // phoQ // mutS // zapE // malT // selO // dbpA // epmA // proS
ion binding	6.93455e-9	gpmM // sbcC // gadB // hfq // ribF // nagE // hrpA // speD // ybeZ // yfbR // cydD // dgcE // avtA // hslV // purL // cmk // mlc // hmp // aceA // yecA // katE // yggX // recQ // slyD // mnmE // ycdX // hflX // gor // srkA // dnaC // yegH // ubiB // rpe // tdh // idi // msrB // hchA // moaA // ilvI // uvrA // udp // nfsB // creC // folE // gltA // sdhC // dgcN // htpX // macB // vsr // frmA // pdxH // crcB // leuS // folC // argF // yihA // nfo // fadR // ycbZ // serC // aceK // gltX // gnd // pyrC // rppH // ulaG // sdhA // yeeZ // queG // waaP // ybhF // gstB // maeA // pgpA // yahK // gyrB // ileS // dacB // speA // sodA // ackA // alaS // ldhA // grxD // barA // anmK // bipA // dgcJ // fhlA // folK // lon // guaB // nhaA // uvrD // miaA // kefG // thyA // fbaA // hldE // gpmA // betA // htpG // ybiV // ltaE // rapA // yajQ // guaA // poxB // ndh // mnmC // hemG // tktB // metK // dpiB // speG // dam // groS // hemW // accA // clpX // hybO // pykF // mutY // mfd // nadR // yjiA // prlC // recA // rnm // yrdD // nagK // cmoA // dhaR // ycjX // pyrD // cydA // ygiQ // hsdR // panC // hyaC // icd // yacG // aroB // hemB // arcB // glyA // potD // rhlB // gyrA // rsxC // yheS // clpB // gloB // metG // tyrB // accC // btuB // ubiG // clpA // ytfE // pykA // hslO // hscA // gmhA // glmU // gcd // narX // sapD // roxA // hda // pck // pepP // carB // lapB // cutC // rcsD // glyS // valS // yniA // pdxA // pepQ // menA // acnA // hemF // potG // ygiC // hxpB // kdsD // gmhB // galU // ddlA // nadK // lysS // rbn // prkB // mrdA // groL // trkH // potF // tyrS // ydjA // cas1 // gshB // bisC // dnaK // mrp // dcyD // gshA // ampH // dgcP // nuoB // sbp // rlmD // upp // recC // aphA // umpG // bcsE // ulaR // nadE // hyfA // aspC // pgm // fur // dcp // ftnA // pgk // ppnN // glgB // nagA // bdcA // moeA // pcnB // pheT // serA // yidA // adhE // yrfG // ychF // gdhA // yggS // nuoF // pabB // ubiD // dacD // glnS // murB // rcnR // ybdK // fepB // ftsK // radD // ybeX // patA // recN // sbmA // tcyN // arnA // relA // alaA // hslU // pldA // trpS // evgS // feoB // ydiJ // fumA // lolD // bepA // glpK // mazG // yigL // yfhL // accD // chbG // msrP // thrA // mnmA // kdsB // cvrA // umpH // znuC // cyaA // pta // gltB // iap // ppx // bfr // hpt // dacC // dnaJ // amyA // wecA // pfkB // nudK // yobA // pepD // rlmA // cysS // sdhB // phoQ // sdaA // mutS // zntR // zapE // malT // selO // otsB // dbpA // pepN // nrdG // epmA // proS
purine ribonucleotide binding	1.1812581e-8	sbcC // hfq // ribF // hrpA // ybeZ // cydD // dgcE // hslV // purL // cmk // recQ // mnmE // hflX // srkA // dnaC // ubiB // moaA // uvrA // udp // creC // folE // dgcN // macB // leuS // folC // yihA // ycbZ // aceK // gltX // gnd // yeeZ // waaP // ybhF // gyrB // ileS // ackA // alaS // barA // anmK // bipA // dgcJ // folK // fhlA // lon // guaB // uvrD // miaA // hldE // gpmA // htpG // rapA // yajQ // guaA // metK // dpiB // groS // accA // clpX // pykF // mfd // nadR // yjiA // recA // nagK // dhaR // ycjX // hsdR // panC // icd // arcB // rhlB // gyrA // yheS // clpB // metG // accC // clpA // pykA // hscA // narX // sapD // hda // pck // carB // rcsD // glyS // valS // yniA // potG // ygiC // ddlA // nadK // lysS // prkB // groL // tyrS // gshB // dnaK // mrp // gshA // dgcP // upp // recC // bcsE // nadE // pgk // ppnN // bdcA // pcnB // pheT // ychF // gdhA // glnS // ybdK // radD // ftsK // recN // sbmA // tcyN // relA // hslU // trpS // evgS // feoB // lolD // glpK // mazG // accD // thrA // mnmA // znuC // cyaA // ppx // hpt // dnaJ // pfkB // cysS // phoQ // mutS // zapE // malT // selO // dbpA // epmA // proS
ribonucleotide binding	1.598693e-8	sbcC // hfq // ribF // hrpA // ybeZ // cydD // dgcE // hslV // purL // cmk // recQ // mnmE // hflX // srkA // dnaC // ubiB // moaA // uvrA // udp // nfsB // creC // folE // dgcN // macB // pdxH // leuS // folC // yihA // ycbZ // aceK // gltX // gnd // yeeZ // waaP // ybhF // gyrB // ileS // ackA // alaS // barA // anmK // bipA // dgcJ // folK // fhlA // lon // guaB // uvrD // miaA // kefG // hldE // gpmA // htpG // rapA // yajQ // guaA // hemG // metK // dpiB // groS // accA // clpX // pykF // mfd // nadR // yjiA // recA // nagK // dhaR // ycjX // pyrD // hsdR // panC // icd // arcB // rhlB // gyrA // yheS // clpB // metG // accC // clpA // pykA // hscA // narX // sapD // hda // pck // carB // rcsD // glyS // valS // yniA // potG // ygiC // ddlA // nadK // lysS // prkB // groL // tyrS // ydjA // gshB // dnaK // mrp // gshA // dgcP // upp // recC // bcsE // nadE // pgk // ppnN // bdcA // pcnB // pheT // ychF // gdhA // nuoF // ubiD // glnS // ybdK // radD // ftsK // recN // sbmA // tcyN // relA // hslU // trpS // evgS // feoB // lolD // glpK // mazG // accD // thrA // mnmA // znuC // cyaA // ppx // hpt // dnaJ // pfkB // cysS // phoQ // mutS // zapE // malT // selO // dbpA // epmA // proS
molecular_function	4.123173e-8	ybeD // pflB // lolB // proC // gpmM // sbcC // dctA // gadB // chaC // insK // murI // hfq // ribF // ybaT // nagE // hrpA // speD // ybeZ // eptC // grpE // yggE // yfbR // cydD // yejA // osmC // pdeB // dgcE // avtA // seqA // intF // pitA // yafD // hslV // purL // cmk // mlc // pdeG // hdhA // actS // hmp // aceA // fdhD // fabF // dsbG // yecA // katE // yggX // yddM // recQ // slyD // ribC // mnmE // ycdX // hspQ // hflX // argT // yhjV // clsC // chaA // gor // rna // grxB // srkA // dnaC // yegH // ubiB // rpe // mug // rfbB // tdh // bamD // mppA // idi // dapD // msrB // hchA // waaA // moaA // truC // ilvI // uvrA // yjcE // elaA // polA // udp // nfsB // evgA // creC // ihfA // folE // prmC // gltA // sdhC // htpX // dgcN // glsA // opgH // macB // vsr // dsbD // ypfH // frmA // ybfE // znuB // pdxH // aroE // yjgL // crcB // leuS // dmsD // lrp // folC // argF // yeeN // uraA // yihA // ubiC // betT // lrhA // bluR // nfo // yfdH // yeeA // degP // yqjG // wecB // waaH // fadR // ycbZ // serC // aceK // efp // fsr // rpnC // gltX // gnd // uspE // folD // pyrC // rppH // ulaG // sdhA // grcA // yeeZ // queG // yeaK // waaP // ybhF // tusE // arsB // gstB // bcp // nhaR // xseA // maeA // yccA // comR // recE // diaA // yieP // nepI // pgpA // yahK // kdgR // clsA // hdfR // gyrB // folX // ileS // deoD // cyuP // clpP // dacB // speA // pqiB // sodA // cytR // yidE // talB // pldB // ackA // phoP // araF // alaS // hns // uspA // ldhA // psd // rlmM // cysZ // grxD // minC // barA // anmK // bipA // dcuA // exuR // exoX // dgcJ // yhhN // folK // fhlA // ratA // sstT // ghrB // lon // guaB // nhaA // uvrD // miaA // kefG // dcuR // fabA // thyA // bdcR // fbaA // ldtA // hldE // gpmA // betA // trhO // htpG // ybiV // ltaE // pheA // rapA // gpsA // prc // yajQ // pgsA // guaA // poxB // uvrY // puuC // tolQ // yceF // glnD // yafE // ndh // tolC // metQ // yfhM // mnmC // hemG // tktB // metK // yraN // pdxI // leuE // dpiB // speG // dam // yhgF // yedE // yegX // groS // nudJ // rhtC // rlmJ // hemW // ampG // surA // accA // lolC // panE // mzrA // yjeM // clpX // hybO // nuoC // pykF // osmF // fbaB // yebQ // nagB // mutY // mfd // ydgA // nadR // yjiA // prlC // rseB // tmaR // rpsT // rflP // recA // srsR // lolE // rnm // yrdD // prmB // nagK // sbmC // cmoA // aaeR // dhaR // ycjX // yebK // letB // pyrD // exbD // cydA // ygiQ // yfgD // hsdR // panC // hyaC // icd // mdtI // yacG // aroB // hemB // rraB // rsmD // arcB // glyA // prlF // potD // dkgA // pabA // yejK // rhlB // ychJ // plsB // pgi // gyrA // rsxC // lpoA // yheS // clpB // rraA // dsbA // gloB // uvrC // metG // rsxA // tyrB // accC // tus // btuB // ubiG // rssB // clpA // ytfE // dcd // hisQ // pykA // bolA // hslO // hscA // gmhA // trmA // ybdG // glmU // ytfQ // gcd // rlmE // ydhJ // yaaJ // rssA // pdeK // narX // sapD // ariR // roxA // proA // hda // pck // pepP // hslR // carB // lapB // gatZ // ydiZ // cutC // gcvA // uspD // ydgJ // rcsD // glyS // plsY // yeeY // valS // yniA // pdxA // pepQ // manZ // menA // intD // abpA // aroA // acnA // hemF // potG // aspA // ygiC // hxpB // kdsD // gmhB // ubiE // galU // lipB // aaeA // sutR // ddlA // nadK // ppiD // lysS // rbn // tsaB // yjjU // prkB // mrdA // fumE // gntT // ompF // groL // trkH // aaeB // hpf // hisJ // potF // menI // wzzB // tyrS // ycdY // cyuA // artQ // ydjA // caiB // cas1 // gshB // blr // lsrK // bisC // ygaP // dnaK // mrp // dcyD // rsmG // yjtD // ydhK // rfaH // gshA // yeaD // yfdG // asd // sppA // ampH // dinF // dgcP // nuoB // sbp // yqeG // rlmD // rnb // nagC // trhA // opgG // upp // adeP // rsmF // secB // ycgZ // recC // iclR // aphA // arcA // umpG // amn // cycA // bcsE // lysP // ulaR // ydfG // nadE // hyfA // sra // aspC // cbl // acrA // nagZ // osmY // pinR // galR // pgm // fur // dcp // nlpE // ybeF // ftnA // pgk // ppnN // glgB // nagA // bdcA // ygaV // moeA // ghrA // tpiA // pcnB // pheT // ybjN // rsmC // pspA // serA // damX // yidA // adhE // yadI // waaG // yrfG // ybhK // ychF // mlaD // cmoM // cbpA // fabB // ldcC // rsmB // gdhA // gntU // lptA // hemC // yggS // nuoF // pabB // ubiD // dacD // glnS // pntB // tyrP // yaeF // murB // proX // rcnR // hipH // csrA // zapA // rcsF // waaF // lptC // ybdK // ybgC // fepB // radD // ftsK // manY // ybeX // patA // hinT // tolR // recN // waaC // tcyL // tomB // elaB // rlhA // ycfP // sbmA // ymgA // pdxB // rcnA // gapA // tcyN // arnA // alaA // relA // yggL // prfA // cnoX // hslU // pldA // trpS // evgS // arsC // feoB // aceB // ydiJ // fumA // lolD // bepA // ucpA // glpK // sfsA // sgrR // ivy // mazG // opgD // yigL // gadW // yfhL // accD // chbG // yhdH // msrP // tcyJ // thrA // mnmA // dppA // kdsB // punC // rluE // cvrA // umpH // tatA // znuC // pinQ // cyaA // yheT // lpxL // tamB // yajL // pta // ftsX // hcxB // cysB // gltB // iap // ppx // bfr // cho // acrZ // yjhU // ridA // hpt // dacC // ompX // dnaJ // amyA // yhcB // modB // wecA // dsbB // pfkB // nudK // alaE // insN // yobA // rlmA // pepD // cysS // yrbG // sdhB // phoQ // sdaA // madA // ompR // mutS // otsA // maa // zntR // zapE // malT // selO // otsB // dbpA // pepN // nrdG // bglX // dtpB // sohB // truA // rpoN // epmA // acpP // proS
cytoplasm	1.8640743e-7	amyA // polA // recA // mnmE // hdfR // srkA // efp // gmhA // kdgR // mlc // zntR // relA // dcp // dmsD // folC // pdeG // zapE // rapA // yqjG // ileS // tdh // argF // ybeZ // ulaR // yafD // nadR // uvrA // pgm // hflX // aroB // accD // thyA // ybhK // uvrD // dbpA // dnaK // fabB // cyaA // pykF // gshB // phoP // cbpA // icd // pheA // nuoC // pyrD // zapA // rsmC // gmhB // frmA // purL // gadB // sbmC // mnmA // osmC // tpiA // ompR // dkgA // avtA // panC // ytfE // rnb // slyD // glnS // grpE // glyA // pflB // yeeN // groS // katE // talB // kdsB // ubiG // chaC // gstB // pgk // clpB // ackA // nagB // hemW // rraA // yfbR // yceF // cmk // sra // hslV // mug // hspQ // gdhA // tsaB // rsmF // fbaB // hchA // aroA // arcA // grxD // pepP // accA // recN // metG // tyrB // cysS // hns // nhaR // pdxA // uvrC // gpmM // dnaJ // fabA // gor // nagZ // glgB // folX // speG // sodA // glmU // udp // msrB // queG // pyrC // tomB // dapD // gcvA // rlmM // ubiD // ubiC // hemC // ddlA // mfd // pck // moeA // lon // rcnR // groL // chbG // mnmC // rhlB // hslO // prlF // tus // bcp // ghrA // proS // gyrB // htpG // dcuR // aceK // prfA // yhdH // alaA // pcnB // ldcC // tusE // tusC // evgA // rlmE // gltX // gpsA // epmA // secB // leuS // nadE // lysS // prlC // ulaG // ftnA // ridA // pta // rppH // gcvR // fdhD // uspE // metK // idi // accC // uspA // carB // recQ // tyrS // murB // acpP // uvrY // panE // cas1 // acnA // pykA // alaS // umpG // rsmG // rsmB // caiB // aceB // hemF // lsrK // rna // cysB // ihfA // rraB // ubiE // xseA // gapA // serC // proC // hmp // aspC // nrdG // seqA // trpS // ghrB // valS // lipB // pheT // proA // gyrA // uspD // folE // hpt // nadK // yejK // ychF // pspA // gltA // wecB // fur // yfhL // fadR // pgi // clpP // pdxB // yadI // cutC // glyS // hslU // hinT // yjiA // clpA // grcA // gpmA // prkB // upp // pdxI // rpsT // yajL // bipA // yeaK // csrA // yeaD // yeeZ // amn // deoD // ycdY // umpH // yggS
purine ribonucleoside triphosphate binding	1.8640743e-7	sbcC // hfq // ribF // hrpA // ybeZ // cydD // dgcE // hslV // purL // cmk // recQ // mnmE // hflX // srkA // dnaC // ubiB // moaA // uvrA // udp // creC // folE // dgcN // macB // leuS // folC // yihA // ycbZ // aceK // gltX // yeeZ // waaP // ybhF // gyrB // ileS // ackA // alaS // barA // anmK // bipA // dgcJ // folK // fhlA // lon // guaB // uvrD // miaA // hldE // gpmA // htpG // rapA // yajQ // guaA // metK // dpiB // groS // accA // clpX // pykF // mfd // nadR // yjiA // recA // nagK // dhaR // ycjX // hsdR // panC // arcB // rhlB // gyrA // yheS // clpB // metG // accC // clpA // pykA // hscA // narX // sapD // pck // carB // rcsD // glyS // valS // yniA // potG // ygiC // ddlA // nadK // lysS // prkB // groL // tyrS // gshB // dnaK // mrp // gshA // dgcP // upp // recC // nadE // pgk // pcnB // pheT // ychF // glnS // ybdK // radD // ftsK // recN // sbmA // tcyN // relA // hslU // trpS // evgS // feoB // lolD // glpK // mazG // accD // thrA // mnmA // znuC // cyaA // dnaJ // pfkB // cysS // phoQ // mutS // zapE // malT // selO // dbpA // epmA // proS
adenyl ribonucleotide binding	8.5353787e-7	sbcC // hfq // ribF // hrpA // ybeZ // cydD // hslV // purL // cmk // recQ // hflX // srkA // dnaC // ubiB // uvrA // udp // creC // macB // leuS // folC // ycbZ // aceK // gltX // yeeZ // waaP // ybhF // gyrB // ileS // ackA // alaS // barA // anmK // folK // fhlA // lon // guaB // uvrD // miaA // hldE // gpmA // htpG // rapA // yajQ // guaA // metK // dpiB // groS // accA // clpX // pykF // mfd // nadR // recA // nagK // dhaR // hsdR // panC // arcB // rhlB // gyrA // yheS // clpB // metG // accC // clpA // pykA // hscA // narX // sapD // hda // pck // carB // rcsD // glyS // valS // yniA // potG // ygiC // ddlA // nadK // lysS // prkB // groL // tyrS // gshB // dnaK // mrp // gshA // recC // nadE // pgk // pcnB // pheT // ychF // glnS // ybdK // radD // ftsK // recN // sbmA // tcyN // relA // hslU // trpS // evgS // lolD // glpK // mazG // accD // thrA // mnmA // znuC // cyaA // dnaJ // pfkB // cysS // phoQ // mutS // zapE // malT // selO // dbpA // epmA // proS
ATP binding	1.0483498e-6	carB // recN // glpK // clpX // hslU // dnaK // hscA // lon // znuC // sapD // clpA // aceK // dbpA // potG // tcyN // yheS // lolD // groL // gpmA // udp // guaB // ileS // zapE // rcsD // ybeZ // ybhF // nadR // uvrA // pfkB // hflX // accD // dpiB // sbcC // uvrD // cyaA // pykF // gshB // relA // folK // anmK // purL // hldE // mnmA // yajQ // recC // ybdK // panC // ycbZ // glnS // hsdR // sbmA // groS // radD // pgk // rapA // clpB // ackA // thrA // cmk // hslV // phoQ // dnaC // guaA // ribF // mazG // arcB // mrp // accA // metG // cysS // fhlA // dnaJ // macB // barA // ddlA // malT // mfd // ubiB // pck // folC // nagK // narX // rhlB // proS // gyrB // htpG // pcnB // hrpA // creC // evgS // yniA // gltX // ygiC // epmA // leuS // nadE // lysS // ftsK // metK // accC // recQ // tyrS // prkB // pykA // alaS // gshA // miaA // mutS // recA // yeeZ // dhaR // trpS // valS // selO // pheT // gyrA // nadK // ychF // srkA // glyS // waaP // hfq // cydD
response to abiotic stimulus	4.0912555e-6	ybeD // ybaT // grpE // yggE // osmC // seqA // intF // hslV // cmk // fabF // katE // slyD // mnmE // hspQ // hflX // yhjV // chaA // hchA // moaA // uvrA // htpX // glsA // degP // uspE // clpP // sodA // ldhA // bipA // letA // lon // guaB // nhaA // uvrD // miaA // thyA // betA // htpG // dam // yhgF // groS // pykF // osmF // nadR // recA // arcB // clpB // gloB // uvrC // ubiG // clpA // dcd // hslO // hscA // yggT // ybdG // ariR // hslR // gcvA // uspD // hslJ // ddlA // groL // dnaK // gshA // ycgZ // recC // osmY // ybjN // pspA // proX // radD // ftsK // recN // hslU // evgS // yodD // yajL // cysB // dnaJ // dsbB // phoQ // otsA // otsB // epmA
superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass	4.5757333e-6	pykF // pykA // gpmM // pgk // gapA // tpiA // fbaB // fbaA // pfkB // pgi // ybiV // yidA // yigL // gpmA // manZ // manY // sdhA // sdhB // sdhC // acnA // gltA // icd // fumE // fumA // maeA // aceA // aceB
cellular anatomical structure	5.4772545e-6	ybeD // pflB // lolB // proC // yeaQ // gpmM // sbcC // dctA // gadB // chaC // insK // murI // hfq // ribF // arcB // nagE // ybaT // hrpA // speD // ybeZ // eptC // grpE // yggE // yfbR // cydD // yejA // osmC // pdeB // dgcE // avtA // seqA // pitA // yafD // hslV // purL // cmk // mlc // pdeG // yqaE // hdhA // actS // hmp // aceA // fdhD // fabF // dsbG // ygdQ // yecA // katE // yggX // recQ // yddM // slyD // ribC // mnmE // ycdX // hspQ // hflX // argT // yhjV // clsC // chaA // gor // rna // srkA // grxB // dnaC // yeaL // ydhS // yegH // ubiB // ydiK // rpe // rfbB // mug // tdh // bamD // yzcX // mppA // idi // dapD // hchA // msrB // moaA // waaA // yejO // truC // ilvI // uvrA // yjcE // elaA // polA // udp // nfsB // evgA // yjiV // creC // ihfA // folE // gltA // prmC // ygaZ // sdhC // dgcN // htpX // opgH // macB // vsr // dsbD // yciC // ypfH // ygdI // frmA // ybfE // ydcF // yebZ // gfcB // znuB // pdxH // aroE // yjgL // crcB // leuS // dmsD // lrp // evgS // folC // argF // yeeN // yihA // uraA // ubiC // betT // lrhA // bluR // nfo // yfdH // yeeA // degP // yqjG // wecB // yfgO // waaH // fadR // ycbZ // serC // aceK // efp // yaeQ // fsr // rpnC // gltX // gnd // folD // uspE // pyrC // rppH // ulaG // sdhA // grcA // yeeZ // queG // yeaK // waaP // ybhF // tusE // arsB // gstB // bcp // nhaR // xseA // maeA // yccA // comR // diaA // recE // yieP // yciQ // nepI // pgpA // gcvR // yoeA // kdgR // yahK // clsA // hdfR // gyrB // tabA // folX // ileS // yfiB // deoD // bcsG // cyuP // clpP // dacB // speA // pqiB // barA // ybgS // sodA // cytR // yidE // pldB // talB // yceH // ackA // phoP // araF // alaS // hns // fxsA // uspA // ldhA // psd // rlmM // cysZ // grxD // minC // anmK // bipA // dcuA // exuR // exoX // dgcJ // yhhN // letA // bssR // fhlA // folK // ratA // ybjS // yebY // sstT // ydiY // yebF // ghrB // lon // guaB // inaA // nhaA // uvrD // miaA // kefG // dcuR // fabA // ygeQ // yjaG // thyA // bdcR // yfgH // fbaA // ldtA // ymgC // hldE // gpmA // yeaR // betA // trhO // htpG // ybiV // htrL // ltaE // ytjB // rapA // pheA // gpsA // prc // yajQ // pgsA // guaA // ydbJ // uvrY // poxB // puuC // tolQ // glnD // tolC // ndh // metQ // yceF // yafE // yfhM // mnmC // hemG // tktB // yecJ // ygiM // metK // yebO // pdxI // leuE // dpiB // speG // dam // yhgF // yedE // groS // nudJ // rhtC // rlmJ // hemW // ampG // icdC // surA // accA // lolC // panE // mzrA // yjeM // clpX // hybO // nuoC // pykF // fbaB // osmF // nagB // yebQ // yfcO // mutY // mfd // ydgA // nadR // yjiA // prlC // ychE // rseB // tmaR // rpsT // rflP // recA // srsR // lolE // rnm // yrdD // prmB // ybaN // nagK // sbmC // cmoA // aaeR // dhaR // ycjX // yebK // letB // exbD // pyrD // cydA // ygiQ // yaiL // yfgD // hsdR // panC // hyaC // icd // mdtI // yacG // aroB // hemB // rraB // rsmD // glyA // prlF // potD // dkgA // pabA // ychJ // yejK // rhlB // plsB // pgi // gyrA // rsxC // yfcH // ybhG // lpoA // yheS // clpB // rraA // dsbA // gloB // uvrC // ydcL // metG // yeaH // tyrB // rsxA // accC // tus // ydgK // btuB // ubiG // yhdN // rssB // clpA // ytfE // dcd // hisQ // pykA // yeaC // bolA // hslO // hscA // gmhA // trmA // yggT // ybdG // prfH // glmU // yheV // ytfQ // gcd // rlmE // ydhJ // yaaJ // rssA // pdeK // narX // sapD // yraQ // ariR // roxA // proA // hda // yqjK // pck // pepP // hslR // carB // dedA // lapB // gatZ // cutC // gcvA // uspD // ydgJ // rcsD // glyS // tusC // plsY // yeeY // yniB // ybiR // valS // yniA // pdxA // pepQ // manZ // menA // intD // abpA // hslJ // aroA // acnA // hemF // ydjZ // potG // aspA // ygiC // hxpB // kdsD // gmhB // ubiE // ybgA // yjiG // galU // lipB // aaeA // ddlA // sutR // nadK // ppiD // lysS // tsaB // rbn // prkB // mrdA // fumE // gntT // bsmA // ompF // groL // trkH // hpf // aaeB // hisJ // potF // menI // wzzB // ycfL // tyrS // ycdY // ycaR // cyuA // artQ // ydjA // caiB // cas1 // gshB // blr // lsrK // bisC // ygaP // dnaK // mrp // dcyD // rsmG // yjtD // ydhK // rfaH // gshA // yeaD // yfdG // asd // sppA // ampH // dinF // dgcP // nuoB // sbp // yqeG // rlmD // rnb // nagC // trhA // opgG // upp // adeP // rsmF // secB // recC // iclR // ycgL // rhsB // aphA // arcA // umpG // amn // cycA // lysP // ulaR // ydfG // nadE // hyfA // slyB // sra // aspC // cbl // acrA // nagZ // osmY // pinR // galR // pgm // fur // dcp // nlpE // ybeF // ftnA // pgk // yijD // ppnN // glgB // gfcD // nagA // bdcA // ygaV // moeA // ghrA // tpiA // pcnB // pheT // yccJ // ybjN // rsmC // pspA // damX // serA // yhcF // yidA // adhE // yadI // waaG // yrfG // ybhK // ychF // mlaD // cmoM // cbpA // fabB // ldcC // rsmB // gdhA // gntU // lptA // hemC // yggS // nuoF // pabB // ubiD // dacD // glnS // pntB // tyrP // yaeF // murB // proX // rcnR // hipH // csrA // zapA // rcsF // waaF // lptC // ybdK // ybgC // fepB // radD // ftsK // manY // ybeX // patA // hinT // tolR // recN // waaC // tcyL // tomB // yjdM // elaB // rlhA // ycfP // sbmA // pdxB // rcnA // gapA // yceB // tcyN // arnA // relA // alaA // yggL // prfA // cnoX // hslU // pldA // trpS // arsC // feoB // aceB // ydiJ // fumA // lolD // ucpA // bepA // yqaA // glpK // sfsA // sgrR // ivy // mazG // opgD // yigL // gadW // yfhL // accD // chbG // yhdH // msrP // tcyJ // thrA // mnmA // yaiX // dppA // kdsB // ypfG // punC // rluE // cvrA // umpH // tatA // znuC // pinQ // cyaA // yheT // lpxL // tamB // yajL // pta // ftsX // hcxB // cysB // gltB // iap // ppx // bfr // cho // acrZ // yrdB // yjhU // ridA // hpt // dacC // ompX // dnaJ // amyA // yhcB // wecA // modB // dsbB // pfkB // nudK // afuB // insN // alaE // yobA // pepD // rlmA // cysS // yrbG // sdhB // phoQ // sdaA // madA // ompR // mutS // otsA // ychO // maa // zntR // zapE // yqhA // apaG // malT // selO // otsB // dbpA // pepN // nrdG // bglX // dtpB // sohB // truA // rpoN // epmA // ycdZ // proS // acpP
response to heat	8.762679e-6	hslR // miaA // yggE // ybeD // lon // clpA // clpB // hslV // hslU // dnaJ // grpE // dnaK // hflX // sodA // bipA // yajL // gloB // letA // pykF // moaA // dsbB // degP // slyD // groS // hspQ // hslJ // groL // hslO // htpG // ldhA // pspA // clpP
